date,open,close,high,low,volume
2007-08-16,6.786,6.728,6.796,6.632,648195.75
2007-08-17,6.719,6.651,6.835,6.641,475294.29
2007-08-20,6.806,7.154,7.203,6.728,1492527.69
2007-08-21,7.203,7.116,7.261,7.057,991426.99
2007-08-22,7.028,7.057,7.116,6.97,602097.98
2007-08-23,7.077,7.096,7.203,7.048,482521.35
2007-08-24,7.106,7.106,7.3,7.057,695869.53
2007-08-27,7.193,7.261,7.416,7.154,764796.88
2007-08-28,7.338,7.59,7.6,7.164,1288578.73
2007-08-29,7.716,7.677,7.968,7.609,1686401.96
2007-08-30,7.696,7.832,7.89,7.551,847057.29
2007-08-31,7.842,8.171,8.21,7.745,1268950.99
2007-09-03,8.297,8.655,8.887,8.219,1813269.56
2007-09-05,8.326,8.413,8.49,8.142,708669.91
2007-09-06,8.577,8.606,8.858,8.577,1114376.26
2007-09-07,8.606,8.423,8.694,8.355,756083.17
2007-09-10,8.277,8.345,8.403,7.958,643154.9
2007-09-11,8.345,7.784,8.519,7.745,710891.43
2007-09-12,7.745,7.938,7.948,7.464,765805.28
2007-09-13,7.948,8.287,8.403,7.842,863847.89
2007-09-14,8.326,8.5,8.694,8.2,1104029.39
2007-09-17,8.5,9.352,9.352,8.442,2191807.06
2007-09-18,9.7,9.381,9.807,9.216,2124152.27
2007-09-19,9.391,8.974,9.391,8.887,795485.01
2007-09-20,9.032,8.994,9.197,8.907,549346.05
2007-09-21,9.003,8.829,9.081,8.713,689705.63
2007-09-24,8.81,8.965,9.003,8.471,676216.66
2007-09-25,8.955,8.548,8.955,8.5,433916.88
2007-09-26,8.5,8.306,8.616,8.064,533180.05
2007-09-27,8.268,8.423,8.51,8.21,350656.59
2007-09-28,8.519,8.597,8.694,8.471,582584.84
2007-10-08,8.858,8.684,8.907,8.616,605897.34
2007-10-09,8.684,8.616,8.684,8.364,381609.76
2007-10-10,8.616,8.732,9.052,8.606,793349.52
2007-10-11,8.713,8.529,8.723,8.49,400237.31
2007-10-12,8.529,8.326,8.665,8.064,513256.49
2007-10-15,8.326,8.713,8.771,7.968,910734.39
2007-10-16,8.713,8.645,8.926,8.49,610738.94
2007-10-17,8.81,8.674,8.907,8.645,700612.26
2007-10-18,8.713,8.471,8.887,8.423,601473.1
2007-10-19,8.539,8.316,8.703,8.132,392188.41
2007-10-22,8.161,7.929,8.21,7.919,303354.5
2007-10-23,7.919,8.132,8.132,7.822,295672.67
2007-10-24,8.132,8.006,8.2,7.958,232834.45
2007-10-25,7.987,7.522,7.987,7.358,436972.58
2007-10-26,7.542,7.58,7.667,7.367,305489.74
2007-10-29,7.629,7.871,7.89,7.454,247666.06
2007-10-30,7.832,7.842,7.861,7.6,216118.01
2007-10-31,7.89,7.909,8.016,7.745,336838.18
2007-11-01,7.89,7.561,7.9,7.532,313089.46
2007-11-02,7.406,7.154,7.503,7.096,433679.08
2007-11-05,7.125,7.241,7.338,6.99,203310.11
2007-11-06,7.29,7.377,7.58,7.212,284779.64
2007-11-07,7.358,7.183,7.454,7.087,211414.99
2007-11-08,7.164,6.932,7.164,6.922,205123.45
2007-11-09,6.903,6.854,6.999,6.786,168746.49
2007-11-12,6.777,6.738,6.854,6.428,242343.97
2007-11-13,6.777,6.835,7.019,6.728,218746.51
2007-11-14,6.922,7.077,7.125,6.835,216287.6
2007-11-15,7.019,6.903,7.106,6.874,161166.09
2007-11-16,6.854,6.845,6.893,6.728,131205.02
2007-11-19,6.932,7.009,7.067,6.854,137315.48
2007-11-20,7.028,7.212,7.27,6.941,267822.16
2007-11-21,7.29,7.057,7.329,7.028,208031.97
2007-11-22,6.961,6.796,7.009,6.738,141134.07
2007-11-23,6.748,6.912,6.922,6.728,105176.21
2007-11-26,6.961,6.845,7.067,6.825,108130.54
2007-11-27,6.806,6.815,6.922,6.777,98156.67
2007-11-28,6.864,6.796,6.912,6.777,89241.35
2007-11-29,6.825,6.893,6.932,6.641,181600.5
2007-11-30,6.893,6.728,6.893,6.709,144569.27
2007-12-03,6.767,6.825,6.97,6.699,189425.47
2007-12-04,6.835,6.903,7.019,6.835,146437.76
2007-12-05,6.932,7.145,7.193,6.932,385428.1
2007-12-06,7.232,7.145,7.251,7.077,231033.54
2007-12-07,7.164,7.203,7.309,7.116,263020.98
2007-12-10,7.057,7.406,7.454,7.028,333702.45
2007-12-11,7.454,7.445,7.532,7.338,328205.04
2007-12-12,7.425,7.358,7.503,7.3,210396.25
2007-12-13,7.358,7.077,7.425,7.067,272961.52
2007-12-14,7.019,7.145,7.164,6.951,156656.03
2007-12-17,7.203,7.009,7.241,6.961,215697.08
2007-12-18,6.97,7.203,7.241,6.932,159795.15
2007-12-19,7.232,7.348,7.396,7.183,355642.17
2007-12-20,7.338,7.367,7.416,7.3,224170.48
2007-12-21,7.348,7.435,7.474,7.319,298422.3
2007-12-24,7.464,7.474,7.532,7.358,361595.31
2007-12-25,7.503,7.551,7.629,7.435,325411.43
2007-12-26,7.561,7.571,7.677,7.493,278965.51
2007-12-27,7.561,7.784,7.793,7.551,431525.88
2007-12-28,7.793,7.851,7.938,7.706,484836.42
2008-01-02,7.861,8.113,8.326,7.696,628283.28
2008-01-03,8.113,8.926,8.926,8.035,1167318.93
2008-01-04,9.294,9.187,9.439,9.013,1833267.44
2008-01-07,9.091,9.575,9.875,9.052,1477767.12
2008-01-08,9.584,9.342,9.758,9.197,1070331.52
2008-01-09,9.333,9.478,9.536,9.274,618732.69
2008-01-10,9.555,9.913,10.223,9.555,1254358.39
2008-01-11,9.884,9.797,10.01,9.671,449546.51
